Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
泴,0,0,0,0,0,3,1,4,4
瀴,0,0,0,0,0,5,1,6,6
莇,0,0,0,0,0,1,0,1,1
賱,0,0,0,0,0,1,0,1,1
棶,0,0,0,0,0,3,1,4,4
㮈,0,0,0,0,0,1,0,1,1
檊,0,0,0,0,0,3,0,3,3
𠊷,0,0,0,0,0,12,0,12,12
枀,0,0,0,0,0,6,0,6,6
𡶇,0,0,0,0,0,3,0,3,3
𣶏,0,0,0,0,0,1,0,1,1
𤩂,0,0,0,0,0,2,0,2,2
侙,0,0,0,0,0,7,0,7,7
玎,0,0,0,0,0,6,2,8,8
䤸,0,0,0,0,0,3,0,3,3
渘,0,0,0,0,0,4,0,4,4
𤄓,0,0,0,0,0,2,0,2,2
𤆶,0,0,0,0,0,1,0,1,1
烇,0,0,0,0,0,7,9,16,16
檼,0,0,0,0,0,4,0,4,4
槼,0,0,0,0,0,2,0,2,2
欇,0,0,0,0,0,4,0,4,4
㤚,0,0,0,0,0,3,0,3,3
𤋄,0,0,0,0,0,1,0,1,1
𤂸,0,0,0,0,0,2,0,2,2
諰,0,0,0,0,0,4,0,4,4
𥣖,0,0,0,0,0,1,0,1,1
𤲓,0,0,0,0,0,6,0,6,6
迻,0,0,0,0,0,6,0,6,6
㤠,0,0,0,0,0,3,0,3,3
𨔵,0,0,0,0,0,1,0,1,1
𠍺,0,0,0,0,0,2,0,2,2
𠈮,0,0,0,0,0,3,0,3,3
蔤,0,0,0,0,0,2,0,2,2
薡,0,0,0,0,0,3,0,3,3
滮,0,0,0,0,0,5,1,6,6
珅,0,0,0,0,0,4,0,4,4
𣙒,0,0,0,0,0,2,0,2,2
𡧍,0,0,0,0,0,5,0,5,5
寈,0,0,0,0,0,2,0,2,2
𢔢,0,0,0,0,0,4,0,4,4
𢖊,0,0,0,0,0,1,0,1,1
𡧩,0,0,0,0,0,3,0,3,3
㣛,0,0,0,0,0,4,0,4,4
䂬,0,0,0,0,0,2,0,2,2
礐,0,0,0,0,0,1,0,1,1
榰,0,0,0,0,0,7,5,12,12
秴,0,0,0,0,0,2,0,2,2
熷,0,0,0,0,0,4,0,4,4
炆,0,0,0,0,0,1,3,4,4
熮,0,0,0,0,0,2,1,3,3
炑,0,0,0,0,0,2,0,2,2
𡘌,0,0,0,0,0,1,0,1,1
𢘿,0,0,0,0,0,2,0,2,2
㻺,0,0,0,0,0,2,0,2,2
鍒,0,0,0,0,0,4,1,5,5
䙳,0,0,0,0,0,3,0,3,3
烶,0,0,0,0,0,3,4,7,7
𣵁,0,0,0,0,0,1,0,1,1
佂,0,0,0,0,0,2,0,2,2
滐,0,0,0,0,0,4,0,4,4
𤫥,0,0,0,0,0,2,0,2,2
慗,0,0,0,0,0,4,0,4,4
憇,0,0,0,0,0,3,0,3,3
𢟪,0,0,0,0,0,4,0,4,4
蕳,0,0,0,0,0,3,0,3,3
賲,0,0,0,0,0,6,0,6,6
䚮,0,0,0,0,0,7,0,7,7
𠏖,0,0,0,0,0,3,0,3,3
玴,0,0,0,0,0,4,0,4,4
𣴚,0,0,0,0,0,1,0,1,1
𠍮,0,0,0,0,0,3,0,3,3
𡨢,0,0,0,0,0,6,0,6,6
橎,0,0,0,0,0,1,1,2,2
兓,0,0,0,0,0,1,0,1,1
侇,0,0,0,0,0,5,0,5,5
遃,0,0,0,0,0,9,0,9,9
𨖭,0,0,0,0,0,2,0,2,2
㒒,0,0,0,0,0,4,0,4,4
𢓞,0,0,0,0,0,1,0,1,1
孠,0,0,0,0,0,6,0,6,6
𣗸,0,0,0,0,0,1,0,1,1
𧩼,0,0,0,0,0,3,0,3,3
栦,0,0,0,0,0,2,0,2,2
𨖴,0,0,0,0,0,3,0,3,3
榑,0,0,0,0,0,1,29,30,30
𤅙,0,0,0,0,0,2,0,2,2
㮘,0,0,0,0,0,1,0,1,1
炥,0,0,0,0,0,3,1,4,4
烴,0,0,0,0,0,3,5,8,8
𣘣,0,0,0,0,0,2,0,2,2
錤,0,0,0,0,0,7,0,7,7
恄,0,0,0,0,0,1,0,1,1
𣇍,0,0,0,0,0,1,0,1,1
鏏,0,0,0,0,0,10,1,11,11
𣽲,0,0,0,0,0,1,0,1,1
誩,0,0,0,0,0,2,0,2,2
䥵,0,0,0,0,0,6,0,6,6
墷,0,0,0,0,0,1,3,4,4
錂,0,0,0,0,0,5,0,5,5
𢢀,0,0,0,0,0,1,0,1,1
涗,0,0,0,0,0,3,0,3,3
𡨛,0,0,0,0,0,1,0,1,1
𡨾,0,0,0,0,0,4,0,4,4
㵵,0,0,0,0,0,5,0,5,5
湶,0,0,0,0,0,2,0,2,2
鉘,0,0,0,0,0,8,2,10,10
鏓,0,0,0,0,0,4,20,24,24
湸,0,0,0,0,0,6,1,7,7
洅,0,0,0,0,0,4,0,4,4
㵾,0,0,0,0,0,3,0,3,3
𧅣,0,0,0,0,0,1,0,1,1
祴,0,0,0,0,0,3,0,3,3
騵,0,0,0,0,0,2,0,2,2
𥚑,0,0,0,0,0,2,0,2,2
𧥰,0,0,0,0,0,3,0,3,3
詃,0,0,0,0,0,1,0,1,1
鑋,0,0,0,0,0,3,0,3,3
𪼏,0,0,0,0,0,2,0,2,2
㢸,0,0,0,0,0,15,0,15,15
鉎,0,0,0,0,0,3,0,3,3
銆,0,0,0,0,0,4,0,4,4
苢,0,0,0,0,0,3,0,3,3
楥,0,0,0,0,0,3,0,3,3
秈,0,0,0,0,0,3,0,3,3
垌,0,0,0,0,0,5,6,11,11
鉍,0,0,0,0,0,4,1,5,5
䃢,0,0,0,0,0,2,0,2,2
錹,0,0,0,0,0,1,0,1,1
鑝,0,0,0,0,0,4,0,4,4
錈,0,0,0,0,0,2,0,2,2
𣝾,0,0,0,0,0,1,0,1,1
㴼,0,0,0,0,0,3,0,3,3
䡝,0,0,0,0,0,2,0,2,2
𣲸,0,0,0,0,0,3,0,3,3
𨏂,0,0,0,0,0,1,0,1,1
謑,0,0,0,0,0,3,0,3,3
奜,0,0,0,0,0,1,0,1,1
𡋛,0,0,0,0,0,1,0,1,1
𤦃,0,0,0,0,0,2,0,2,2
㮝,0,0,0,0,0,2,0,2,2
湡,0,0,0,0,0,2,2,4,4
駪,0,0,0,0,0,2,0,2,2
摙,0,0,0,0,0,2,0,2,2
拚,0,0,0,0,0,3,0,3,3
燸,0,0,0,0,0,3,0,3,3
燑,0,0,0,0,0,4,1,5,5
㳘,0,0,0,0,0,3,0,3,3
楳,0,0,0,0,0,3,0,3,3
𤎩,0,0,0,0,0,2,0,2,2
𣈄,0,0,0,0,0,1,0,1,1
罧,0,0,0,0,0,1,0,1,1
仹,0,0,0,0,0,2,0,2,2
㒠,0,0,0,0,0,2,0,2,2
㥶,0,0,0,0,0,5,0,5,5
𨕏,0,0,0,0,0,3,0,3,3
䞁,0,0,0,0,0,1,0,1,1
𧵉,0,0,0,0,0,1,0,1,1
璾,0,0,0,0,0,4,0,4,4
𠋯,0,0,0,0,0,1,0,1,1
𨛵,0,0,0,0,0,1,0,1,1
逨,0,0,0,0,0,7,0,7,7
珻,0,0,0,0,0,3,0,3,3
𣼞,0,0,0,0,0,1,0,1,1
𫔡,0,0,0,0,0,1,0,1,1
倸,0,0,0,0,0,1,0,1,1
𣟹,0,0,0,0,0,1,0,1,1
𣆲,0,0,0,0,0,2,0,2,2
晼,0,0,0,0,0,3,0,3,3
藖,0,0,0,0,0,1,0,1,1
㫟,0,0,0,0,0,1,0,1,1
𤧴,0,0,0,0,0,2,0,2,2
椊,0,0,0,0,0,1,0,1,1
岎,0,0,0,0,0,1,0,1,1
𢦩,0,0,0,0,0,4,0,4,4
䓌,0,0,0,0,0,3,0,3,3
𢣘,0,0,0,0,0,2,0,2,2
縜,0,0,0,0,0,4,0,4,4
纕,0,0,0,0,0,3,0,3,3
瑧,0,0,0,0,0,6,0,6,6
塺,0,0,0,0,0,2,0,2,2
𣚌,0,0,0,0,0,3,0,3,3
焌,0,0,0,0,0,3,5,8,8
㻁,0,0,0,0,0,5,0,5,5
㺷,0,0,0,0,0,4,0,4,4
𡐔,0,0,0,0,0,2,0,2,2
埅,0,0,0,0,0,5,1,6,6
槫,0,0,0,0,0,3,0,3,3
㮫,0,0,0,0,0,1,0,1,1
㜽,0,0,0,0,0,1,0,1,1
侜,0,0,0,0,0,10,0,10,10
㯍,0,0,0,0,0,3,0,3,3
燊,0,0,0,0,0,4,0,4,4
箲,0,0,0,0,0,1,0,1,1
㡯,0,0,0,0,0,2,0,2,2
𨑨,0,0,0,0,0,5,0,5,5
𤄻,0,0,0,0,0,1,0,1,1
枂,0,0,0,0,0,2,0,2,2
爃,0,0,0,0,0,3,2,5,5
欘,0,0,0,0,0,3,0,3,3
𤈐,0,0,0,0,0,1,0,1,1
樻,0,0,0,0,0,2,11,13,13
㬜,0,0,0,0,0,4,1,5,5
𨪓,0,0,0,0,0,1,0,1,1
儯,0,0,0,0,0,6,0,6,6
𨙕,0,0,0,0,0,5,0,5,5
盉,0,0,0,0,0,3,0,3,3
濧,0,0,0,0,0,3,0,3,3
鰌,0,0,0,0,0,2,0,2,2
敃,0,0,0,0,0,2,0,2,2
𨓵,0,0,0,0,0,3,0,3,3
諽,0,0,0,0,0,2,0,2,2
虤,0,0,0,0,0,3,0,3,3
𣹟,0,0,0,0,0,2,0,2,2
溏,0,0,0,0,0,4,4,8,8
臤,0,0,0,0,0,4,0,4,4
𧗵,0,0,0,0,0,1,0,1,1
諹,0,0,0,0,0,4,0,4,4
嶆,0,0,0,0,0,1,0,1,1
㕒,0,0,0,0,0,2,0,2,2
𤃬,0,0,0,0,0,1,0,1,1
汻,0,0,0,0,0,4,0,4,4
䋭,0,0,0,0,0,2,0,2,2
䢼,0,0,0,0,0,1,0,1,1
愗,0,0,0,0,0,3,0,3,3
𢢣,0,0,0,0,0,4,0,4,4
忐,0,0,0,0,0,2,0,2,2
𢛇,0,0,0,0,0,3,0,3,3
𨒤,0,0,0,0,0,4,0,4,4
𨙙,0,0,0,0,0,4,0,4,4
橝,0,0,0,0,0,3,1,4,4
俲,0,0,0,0,0,3,0,3,3
𧬂,0,0,0,0,0,2,0,2,2
㻖,0,0,0,0,0,4,0,4,4
䛬,0,0,0,0,0,5,0,5,5
瑻,0,0,0,0,0,9,0,9,9
晄,0,0,0,0,0,3,2,5,5
迡,0,0,0,0,0,2,0,2,2
䉧,0,0,0,0,0,1,0,1,1
橤,0,0,0,0,0,2,0,2,2
𨎋,0,0,0,0,0,2,0,2,2
弨,0,0,0,0,0,4,0,4,4
𦃊,0,0,0,0,0,3,0,3,3
瓑,0,0,0,0,0,1,0,1,1
琗,0,0,0,0,0,3,0,3,3
𡊁,0,0,0,0,0,1,0,1,1
𡊜,0,0,0,0,0,1,0,1,1
煤,0,0,0,0,0,6,13,19,19
𨒉,0,0,0,0,0,1,0,1,1
迼,0,0,0,0,0,2,0,2,2
迬,0,0,0,0,0,4,0,4,4
襭,0,0,0,0,0,1,0,1,1
浧,0,0,0,0,0,2,0,2,2
烠,0,0,0,0,0,2,0,2,2
烊,0,0,0,0,0,5,6,11,11
汮,0,0,0,0,0,3,0,3,3
埩,0,0,0,0,0,2,0,2,2
烒,0,0,0,0,0,3,3,6,6
榾,0,0,0,0,0,1,0,1,1
烳,0,0,0,0,0,4,0,4,4
𢈶,0,0,0,0,0,2,0,2,2
橨,0,0,0,0,0,2,0,2,2
沺,0,0,0,0,0,3,2,5,5
𨖺,0,0,0,0,0,3,0,3,3
𧥢,0,0,0,0,0,2,0,2,2
𧫘,0,0,0,0,0,1,0,1,1
𦫿,0,0,0,0,0,1,0,1,1
𦮌,0,0,0,0,0,1,0,1,1
椾,0,0,0,0,0,1,0,1,1
𣖈,0,0,0,0,0,3,0,3,3
𦳌,0,0,0,0,0,1,0,1,1
𥠺,0,0,0,0,0,2,0,2,2
𤄫,0,0,0,0,0,4,0,4,4
𠐃,0,0,0,0,0,2,0,2,2
徚,0,0,0,0,0,1,0,1,1
𢕪,0,0,0,0,0,3,0,3,3
稘,0,0,0,0,0,3,0,3,3
岍,0,0,0,0,0,2,2,4,4
桒,0,0,0,0,0,1,0,1,1
𩇕,0,0,0,0,0,3,0,3,3
𨊨,0,0,0,0,0,1,0,1,1
𡪺,0,0,0,0,0,1,0,1,1
𨍼,0,0,0,0,0,1,0,1,1
礹,0,0,0,0,0,1,0,1,1
覸,0,0,0,0,0,1,0,1,1
璶,0,0,0,0,0,5,0,5,5
迒,0,0,0,0,0,3,0,3,3
㑼,0,0,0,0,0,1,0,1,1
𧩸,0,0,0,0,0,4,0,4,4
𨪷,0,0,0,0,0,1,0,1,1
俒,0,0,0,0,0,1,0,1,1
𠈍,0,0,0,0,0,4,0,4,4
𥚩,0,0,0,0,0,1,0,1,1
諔,0,0,0,0,0,2,0,2,2
𧬀,0,0,0,0,0,1,0,1,1
𣇳,0,0,0,0,0,1,0,1,1
𨒀,0,0,0,0,0,1,0,1,1
𨗦,0,0,0,0,0,1,0,1,1
埍,0,0,0,0,0,1,2,3,3
鉹,0,0,0,0,0,5,1,6,6
瓙,0,0,0,0,0,3,0,3,3
𤥻,0,0,0,0,0,6,0,6,6
㦉,0,0,0,0,0,5,0,5,5
敄,0,0,0,0,0,2,0,2,2
𢕚,0,0,0,0,0,2,0,2,2
𢒈,0,0,0,0,0,1,0,1,1
衖,0,0,0,0,0,4,0,4,4
㣬,0,0,0,0,0,5,0,5,5
𢖐,0,0,0,0,0,3,0,3,3
𨬓,0,0,0,0,0,1,0,1,1
钃,0,0,0,0,0,3,0,3,3
𢗊,0,0,0,0,0,3,0,3,3
鈋,0,0,0,0,0,4,2,6,6
𥶷,0,0,0,0,0,5,0,5,5
𨧲,0,0,0,0,0,1,0,1,1
䲔,0,0,0,0,0,1,0,1,1
㽘,0,0,0,0,0,2,0,2,2
𨰲,0,0,0,0,0,4,0,4,4
𢈚,0,0,0,0,0,4,0,4,4
祬,0,0,0,0,0,1,0,1,1
瀀,0,0,0,0,0,3,0,3,3
𡐤,0,0,0,0,0,2,1,3,3
徲,0,0,0,0,0,4,0,4,4
𠻚,0,0,0,0,0,3,0,3,3
㿩,0,0,0,0,0,1,0,1,1
皢,0,0,0,0,0,1,0,1,1
垎,0,0,0,0,0,4,0,4,4
𡎰,0,0,0,0,0,1,0,1,1
濨,0,0,0,0,0,4,0,4,4
巺,0,0,0,0,0,1,0,1,1
𦂄,0,0,0,0,0,2,0,2,2
澊,0,0,0,0,0,5,0,5,5
樌,0,0,0,0,0,5,1,6,6
秱,0,0,0,0,0,1,0,1,1
諘,0,0,0,0,0,3,0,3,3
榶,0,0,0,0,0,2,0,2,2
駧,0,0,0,0,0,2,0,2,2
𠁩,0,0,0,0,0,1,0,1,1
欓,0,0,0,0,0,2,1,3,3
枖,0,0,0,0,0,1,0,1,1
㴲,0,0,0,0,0,1,0,1,1
鍓,0,0,0,0,0,3,0,3,3
𨪌,0,0,0,0,0,4,0,4,4
瑆,0,0,0,0,0,4,0,4,4
椉,0,0,0,0,0,3,0,3,3
㠍,0,0,0,0,0,3,0,3,3
䄄,0,0,0,0,0,5,0,5,5
畇,0,0,0,0,0,1,0,1,1
鉚,0,0,0,0,0,3,0,3,3
𤱄,0,0,0,0,0,2,0,2,2
𤳉,0,0,0,0,0,2,0,2,2
𤱌,0,0,0,0,0,1,0,1,1
㝚,0,0,0,0,0,1,0,1,1
炌,0,0,0,0,0,5,32,37,37
𡺽,0,0,0,0,0,3,0,3,3
㢔,0,0,0,0,0,3,0,3,3
𧫁,0,0,0,0,0,1,0,1,1
詴,0,0,0,0,0,2,0,2,2
𠊖,0,0,0,0,0,1,0,1,1
櫍,0,0,0,0,0,7,10,17,17
𣴢,0,0,0,0,0,1,0,1,1
䥙,0,0,0,0,0,4,0,4,4
垳,0,0,0,0,0,1,0,1,1
堢,0,0,0,0,0,2,3,5,5
鏎,0,0,0,0,0,3,0,3,3
瓗,0,0,0,0,0,8,0,8,8
𨙚,0,0,0,0,0,2,0,2,2
𤦤,0,0,0,0,0,2,0,2,2
𢔝,0,0,0,0,0,1,0,1,1
襵,0,0,0,0,0,1,0,1,1
孮,0,0,0,0,0,5,0,5,5
琾,0,0,0,0,0,3,0,3,3
搸,0,0,0,0,0,1,0,1,1
𤲚,0,0,0,0,0,2,0,2,2
𨕒,0,0,0,0,0,3,0,3,3
蕸,0,0,0,0,0,3,0,3,3
𧥿,0,0,0,0,0,7,0,7,7
諅,0,0,0,0,0,2,0,2,2
𣥔,0,0,0,0,0,4,0,4,4
椗,0,0,0,0,0,1,2,3,3
檸,0,0,0,0,0,7,3,10,10
𠈈,0,0,0,0,0,1,0,1,1
𤈴,0,0,0,0,0,1,0,1,1
㙼,0,0,0,0,0,1,0,1,1
坲,0,0,0,0,0,2,0,2,2
𢞈,0,0,0,0,0,2,0,2,2
惈,0,0,0,0,0,5,0,5,5
𢤭,0,0,0,0,0,1,0,1,1
䢾,0,0,0,0,0,1,0,1,1
㭉,0,0,0,0,0,1,0,1,1
忹,0,0,0,0,0,1,0,1,1
𢠵,0,0,0,0,0,4,0,4,4
琭,0,0,0,0,0,5,0,5,5
𤧳,0,0,0,0,0,1,0,1,1
訜,0,0,0,0,0,6,0,6,6
誯,0,0,0,0,0,2,0,2,2
椋,0,0,0,0,0,2,10,12,12
檱,0,0,0,0,0,2,0,2,2
壡,0,0,0,0,0,5,0,5,5
𡌫,0,0,0,0,0,2,0,2,2
淧,0,0,0,0,0,4,0,4,4
㵰,0,0,0,0,0,3,0,3,3
㴒,0,0,0,0,0,3,0,3,3
淓,0,0,0,0,0,4,17,21,21
𦾸,0,0,0,0,0,4,0,4,4
澦,0,0,0,0,0,4,1,5,5
𨗠,0,0,0,0,0,1,0,1,1
𨑧,0,0,0,0,0,3,0,3,3
銴,0,0,0,0,0,3,0,3,3
遢,0,0,0,0,0,4,2,6,6
𣐄,0,0,0,0,0,1,0,1,1
鋅,0,0,0,0,0,8,6,14,14
濐,0,0,0,0,0,6,0,6,6
𨕡,0,0,0,0,0,3,0,3,3
㫶,0,0,0,0,0,2,0,2,2
蓎,0,0,0,0,0,1,0,1,1
恝,0,0,0,0,0,2,2,4,4
𢚩,0,0,0,0,0,1,0,1,1
㥋,0,0,0,0,0,3,0,3,3
𢘺,0,0,0,0,0,1,0,1,1
𩒺,0,0,0,0,0,2,0,2,2
屽,0,0,0,0,0,1,0,1,1
軝,0,0,0,0,0,1,0,1,1
𫏵,0,0,0,0,0,1,0,1,1
𣇫,0,0,0,0,0,1,0,1,1
禌,0,0,0,0,0,3,0,3,3
𥘁,0,0,0,0,0,1,0,1,1
㣙,0,0,0,0,0,3,0,3,3
鍲,0,0,0,0,0,3,2,5,5
樉,0,0,0,0,0,5,18,23,23
𤫤,0,0,0,0,0,3,0,3,3
𤎰,0,0,0,0,0,3,0,3,3
𧨃,0,0,0,0,0,1,0,1,1
𧪄,0,0,0,0,0,2,0,2,2
晈,0,0,0,0,0,3,0,3,3
𤋾,0,0,0,0,0,1,0,1,1
潷,0,0,0,0,0,2,0,2,2
滼,0,0,0,0,0,1,1,2,2
㵋,0,0,0,0,0,2,0,2,2
涻,0,0,0,0,0,1,0,1,1
皡,0,0,0,0,0,9,0,9,9
暟,0,0,0,0,0,2,0,2,2
𥡪,0,0,0,0,0,2,0,2,2
㮮,0,0,0,0,0,3,1,4,4
瑈,0,0,0,0,0,4,11,15,15
穥,0,0,0,0,0,2,0,2,2
𧬌,0,0,0,0,0,1,0,1,1
姫,0,0,0,0,0,1,0,1,1
㻓,0,0,0,0,0,4,0,4,4
縤,0,0,0,0,0,3,0,3,3
𨴲,0,0,0,0,0,1,0,1,1
奫,0,0,0,0,0,6,0,6,6
𥢌,0,0,0,0,0,1,0,1,1
譑,0,0,0,0,0,2,0,2,2
儶,0,0,0,0,0,4,0,4,4
𨏈,0,0,0,0,0,1,0,1,1
庁,0,0,0,0,0,1,0,1,1
𤲵,0,0,0,0,0,1,0,1,1
龯,0,0,0,0,0,4,0,4,4
暏,0,0,0,0,0,2,0,2,2
珿,0,0,0,0,0,3,0,3,3
𫀈,0,0,0,0,0,4,0,4,4
祄,0,0,0,0,0,3,0,3,3
忓,0,0,0,0,0,1,0,1,1
鈓,0,0,0,0,0,4,4,8,8
𨷲,0,0,0,0,0,2,0,2,2
瑿,0,0,0,0,0,3,0,3,3
𢘇,0,0,0,0,0,5,0,5,5
恉,0,0,0,0,0,2,0,2,2
樚,0,0,0,0,0,4,0,4,4
昮,0,0,0,0,0,3,0,3,3
䨦,0,0,0,0,0,1,0,1,1
䌯,0,0,0,0,0,2,0,2,2
榹,0,0,0,0,0,3,0,3,3
𣸅,0,0,0,0,0,3,0,3,3
𡏲,0,0,0,0,0,3,0,3,3
璁,0,0,0,0,0,4,425,429,429
艧,0,0,0,0,0,1,0,1,1
傁,0,0,0,0,0,2,0,2,2
𣓠,0,0,0,0,0,2,0,2,2
楦,0,0,0,0,0,1,0,1,1
燖,0,0,0,0,0,3,2,5,5
𩦥,0,0,0,0,0,1,0,1,1
駽,0,0,0,0,0,2,0,2,2
蘨,0,0,0,0,0,4,0,4,4
雯,0,0,0,0,0,6,7,13,13
𧗣,0,0,0,0,0,1,0,1,1
圤,0,0,0,0,0,1,0,1,1
瑏,0,0,0,0,0,1,0,1,1
櫁,0,0,0,0,0,1,0,1,1
缹,0,0,0,0,0,1,0,1,1
梆,0,0,0,0,0,3,0,3,3
=,0,0,0,0,0,3,0,3,3
𥠦,0,0,0,0,0,1,0,1,1
䆅,0,0,0,0,0,3,0,3,3
𤎷,0,0,0,0,0,1,0,1,1
𣷿,0,0,0,0,0,1,0,1,1
䄬,0,0,0,0,0,1,0,1,1
𥞛,0,0,0,0,0,1,0,1,1
𠐥,0,0,0,0,0,1,0,1,1
磏,0,0,0,0,0,2,0,2,2
櫮,0,0,0,0,0,1,0,1,1
鋙,0,0,0,0,0,3,2,5,5
鎦,0,0,0,0,0,3,1,4,4
霳,0,0,0,0,0,5,2,7,7
𧩢,0,0,0,0,0,1,0,1,1
𤩄,0,0,0,0,0,3,0,3,3
誱,0,0,0,0,0,2,0,2,2
䇍,0,0,0,0,0,3,0,3,3
𡋽,0,0,0,0,0,1,0,1,1
壏,0,0,0,0,0,2,8,10,10
㻸,0,0,0,0,0,4,0,4,4
𣹷,0,0,0,0,0,2,0,2,2
𡹷,0,0,0,0,0,1,0,1,1
搃,0,0,0,0,0,1,0,1,1
穱,0,0,0,0,0,2,0,2,2
𣽉,0,0,0,0,0,3,0,3,3
涭,0,0,0,0,0,4,3,7,7
鑯,0,0,0,0,0,2,0,2,2
靌,0,0,0,0,0,1,0,1,1
惍,0,0,0,0,0,4,0,4,4
愡,0,0,0,0,0,1,0,1,1
劤,0,0,0,0,0,1,0,1,1
懫,0,0,0,0,0,1,0,1,1
劺,0,0,0,0,0,4,0,4,4
𠡂,0,0,0,0,0,1,0,1,1
𢚢,0,0,0,0,0,1,0,1,1
悡,0,0,0,0,0,2,0,2,2
𣁇,0,0,0,0,0,1,0,1,1
𣐑,0,0,0,0,0,3,0,3,3
㯪,0,0,0,0,0,2,0,2,2
珜,0,0,0,0,0,8,0,8,8
鎊,0,0,0,0,0,6,0,6,6
琷,0,0,0,0,0,1,0,1,1
玝,0,0,0,0,0,2,0,2,2
枃,0,0,0,0,0,21,0,21,21
劰,0,0,0,0,0,2,0,2,2
湀,0,0,0,0,0,2,0,2,2
𧪚,0,0,0,0,0,5,0,5,5
僼,0,0,0,0,0,2,0,2,2
璼,0,0,0,0,0,4,0,4,4
𣉞,0,0,0,0,0,1,0,1,1
覨,0,0,0,0,0,1,0,1,1
鏇,0,0,0,0,0,3,4,7,7
逪,0,0,0,0,0,1,0,1,1
𨓆,0,0,0,0,0,3,0,3,3
𨔥,0,0,0,0,0,3,0,3,3
敾,0,0,0,0,0,2,0,2,2
𢿟,0,0,0,0,0,1,0,1,1
敟,0,0,0,0,0,1,0,1,1
㰈,0,0,0,0,0,2,0,2,2
霛,0,0,0,0,0,1,0,1,1
𥪋,0,0,0,0,0,2,0,2,2
鉜,0,0,0,0,0,1,0,1,1
釿,0,0,0,0,0,1,0,1,1
𣋳,0,0,0,0,0,2,0,2,2
楅,0,0,0,0,0,3,2,5,5
䫤,0,0,0,0,0,1,0,1,1
𣅈,0,0,0,0,0,1,0,1,1
頄,0,0,0,0,0,1,0,1,1
𩓞,0,0,0,0,0,1,0,1,1
䫯,0,0,0,0,0,1,0,1,1
㐱,0,0,0,0,0,1,0,1,1
笵,0,0,0,0,0,2,0,2,2
煠,0,0,0,0,0,3,4,7,7
㷫,0,0,0,0,0,1,0,1,1
珶,0,0,0,0,0,5,0,5,5
悜,0,0,0,0,0,5,0,5,5
惿,0,0,0,0,0,4,0,4,4
圚,0,0,0,0,0,1,0,1,1
㷰,0,0,0,0,0,1,0,1,1
𥯳,0,0,0,0,0,2,0,2,2
㶕,0,0,0,0,0,2,0,2,2
娞,0,0,0,0,0,1,0,1,1
謺,0,0,0,0,0,1,0,1,1
𧧹,0,0,0,0,0,1,0,1,1
𢸩,0,0,0,0,0,1,0,1,1
𨌠,0,0,0,0,0,1,0,1,1
鋾,0,0,0,0,0,8,1,9,9
埥,0,0,0,0,0,3,1,4,4
𡉝,0,0,0,0,0,1,0,1,1
墣,0,0,0,0,0,1,1,2,2
㙚,0,0,0,0,0,1,0,1,1
𤊺,0,0,0,0,0,1,0,1,1
皣,0,0,0,0,0,2,0,2,2
葒,0,0,0,0,0,2,0,2,2
𡒓,0,0,0,0,0,1,0,1,1
璗,0,0,0,0,0,1,0,1,1
薈,0,0,0,0,0,4,5,9,9
菄,0,0,0,0,0,1,0,1,1
蔁,0,0,0,0,0,1,0,1,1
芠,0,0,0,0,0,3,0,3,3
𢘑,0,0,0,0,0,1,0,1,1
玜,0,0,0,0,0,3,0,3,3
㺨,0,0,0,0,0,8,0,8,8
䄎,0,0,0,0,0,2,0,2,2
祦,0,0,0,0,0,4,0,4,4
碖,0,0,0,0,0,1,1,2,2
䃋,0,0,0,0,0,2,0,2,2
𥑿,0,0,0,0,0,1,0,1,1
䄉,0,0,0,0,0,4,0,4,4
僓,0,0,0,0,0,4,0,4,4
𧟄,0,0,0,0,0,1,0,1,1
倝,0,0,0,0,0,1,0,1,1
䏦,0,0,0,0,0,1,0,1,1
駫,0,0,0,0,0,1,0,1,1
砎,0,0,0,0,0,5,0,5,5
弻,0,0,0,0,0,2,0,2,2
𡺞,0,0,0,0,0,4,0,4,4
𨙒,0,0,0,0,0,4,0,4,4
𥙾,0,0,0,0,0,2,0,2,2
𥙖,0,0,0,0,0,2,0,2,2
䡵,0,0,0,0,0,2,0,2,2
鎘,0,0,0,0,0,8,1,9,9
曃,0,0,0,0,0,4,0,4,4
䑞,0,0,0,0,0,2,0,2,2
竉,0,0,0,0,0,2,0,2,2
煊,0,0,0,0,0,5,7,12,12
㞦,0,0,0,0,0,3,0,3,3
𢗙,0,0,0,0,0,2,0,2,2
鑫,0,0,0,0,0,3,0,3,3
禑,0,0,0,0,0,2,20,22,22
𤥫,0,0,0,0,0,2,0,2,2
漖,0,0,0,0,0,3,2,5,5
祰,0,0,0,0,0,2,0,2,2
𫒴,0,0,0,0,0,2,0,2,2
嶒,0,0,0,0,0,2,0,2,2
䅰,0,0,0,0,0,2,0,2,2
檾,0,0,0,0,0,3,0,3,3
𠮯,0,0,0,0,0,6,0,6,6
鍯,0,0,0,0,0,4,0,4,4
𨯚,0,0,0,0,0,2,0,2,2
䥸,0,0,0,0,0,3,0,3,3
𣊡,0,0,0,0,0,2,0,2,2
懩,0,0,0,0,0,2,0,2,2
𩆶,0,0,0,0,0,3,0,3,3
