Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, CHI2
奏,32,0.09,14985,0.17,10485.83
敢,20,0.06,5942,0.07,2118.56
利,35,0.1,7361,0.08,3264.96
微,9,0.03,3580,0.04,4051.66
右,60,0.17,15712,0.18,765.73
眾,26,0.07,8544,0.1,3950.07
裨,5,0.01,476,0.01,6725.85
步,8,0.02,3017,0.03,3362.06
廣,38,0.11,11166,0.13,2718.8
冒,7,0.02,1082,0.01,3907.84
春,21,0.06,8228,0.09,5979.86
騎,34,0.1,6827,0.08,4022.44
校,58,0.17,6873,0.08,17530.33
尉,32,0.09,7348,0.08,1645.42
郭,21,0.06,2920,0.03,8256.59
畜,20,0.06,904,0.01,25550.79
引,12,0.03,7042,0.08,8896.93
還,50,0.14,12093,0.14,968.14
丁,58,0.17,8182,0.09,13386.61
北,43,0.12,20185,0.23,12208.34
疾,15,0.04,5674,0.06,4639.83
糧,14,0.04,2751,0.03,2821.85
紡,6,0.02,41,0.0,40251.48
績,8,0.02,1034,0.01,5736.86
帷,5,0.01,328,0.0,9596.94
甲,18,0.05,8792,0.1,8419.92
轉,35,0.1,7074,0.08,3965.63
苦,7,0.02,1807,0.02,148.99
經,16,0.05,10736,0.12,12035.52
樹,10,0.03,1046,0.01,8539.03
望,11,0.03,6589,0.07,8738.68
嘉,16,0.05,8074,0.09,8347.39
宗,73,0.21,28240,0.32,10830.82
族,19,0.05,2755,0.03,7290.97
仕,7,0.02,3451,0.04,5326.11
蒼,5,0.01,1040,0.01,1307.21
連,10,0.03,3693,0.04,3558.53
術,7,0.02,2564,0.03,2911.61
德,62,0.18,20891,0.24,6695.43
財,12,0.03,2679,0.03,1296.81
卓,6,0.02,1007,0.01,3006.36
歎,5,0.01,862,0.01,2563.3
厚,17,0.05,4122,0.05,533.44
蒲,8,0.02,908,0.01,6895.62
奇,18,0.05,3032,0.03,5161.2
謀,26,0.07,5856,0.07,1775.46
乘,19,0.05,5621,0.06,2009.84
反,24,0.07,4922,0.06,3070.58
谷,9,0.03,2244,0.03,139.87
匈,10,0.03,2086,0.02,1821.67
奴,30,0.09,3083,0.04,15105.85
